id,nombre,apellido,email,telefono,contraseña,activo,estado,tipo_vehiculo,fecha_registro,fecha_actualizacion
18,Rodrigo,Bastida,estherfrutos@example.org,+34 871 05 58 54,&2pPs+&vZD,True,activo,Auto,2025-04-10 12:58:01,2025-05-26 12:58:01
19,Victor Manuel,Gimenez,maria-jose60@example.com,+34901 867 018,^GS8GwoA^6,False,inactivo,Moto,2024-08-31 16:31:06,2024-11-22 16:31:06
20,Ariel,Piñeiro,bgallo@example.com,+34 885 885 374,krz9VTpMR+,True,activo,Auto,2025-04-01 03:57:54,2025-06-16 03:57:54
21,Jesusa,Ferreras,wfarre@example.com,+34945 800 413,3)O&7Xk0yB,True,activo,Moto,2024-07-02 12:37:13,2024-07-15 12:37:13
22,Rufina,Gomez,adelia90@example.com,+34945 11 18 94,(Y^5CKu7F!,True,activo,Auto,2024-08-11 01:34:16,2024-09-09 01:34:16
23,Lucía,Landa,caceresgala@example.org,+34 978679792,)OJlO(Vz8E,True,activo,Moto,2025-04-18 20:17:16,2025-05-20 20:17:16
24,Leticia,Dalmau,rmir@example.org,+34 726 865 303,(N!4YaIquH,True,activo,Moto,2025-04-06 01:01:34,2025-04-21 01:01:34
25,Aarón,Fábregas,panfilosanabria@example.com,+34 880 734 335,Bi97D!Y)1_,True,activo,Moto,2025-05-07 00:41:13,2025-07-02 00:41:13
26,Haroldo,Mendizábal,claudia18@example.net,+34 978129321,w2dNsCTY_F,True,activo,Bicicleta,2024-08-18 09:36:20,2024-10-17 09:36:20
27,Leonardo,Tamarit,maricruz85@example.org,+34 902 68 03 00,1Gap5Unz)i,False,inactivo,Moto,2024-11-23 00:27:37,2024-12-12 00:27:37
28,Isa,Contreras,hpozo@example.com,+34986 187 719,0wZiSjoL)3,True,activo,Moto,2025-01-10 15:29:31,2025-03-05 15:29:31
29,Porfirio,Hoyos,aliagaclimaco@example.org,+34 945 34 82 02,p+C^0OpdL!,True,activo,Auto,2024-12-10 17:00:03,2024-12-22 17:00:03
30,Hipólito,Segura,castelllilia@example.org,+34928 15 62 83,W96GuzhNb&,True,activo,Auto,2025-01-03 03:37:22,2025-02-05 03:37:22
31,Carmela,Ortuño,hermenegildo67@example.org,+34823 31 75 91,)sS8Lrnn4g,True,activo,Auto,2024-09-11 01:07:24,2024-12-06 01:07:24
32,Prudencio,Marin,veraacosta@example.com,+34 947 618 349,^8J9Mn*l_u,True,activo,Bicicleta,2024-11-24 14:46:49,2025-01-21 14:46:49
33,Anunciación,Pascual,arrietapiedad@example.net,+34 942 58 78 64,$#R%5N3doc,True,activo,Moto,2024-08-20 00:19:01,2024-09-04 00:19:01
34,José Ángel,Ramirez,ucontreras@example.com,+34 880916269,sQD978LzZ*,True,activo,Auto,2024-07-19 16:00:29,2024-08-14 16:00:29
35,Valentina,Pujol,chelocastilla@example.org,+34 920 529 995,+hW*8thag5,False,inactivo,Auto,2024-10-09 23:22:25,2024-12-20 23:22:25
36,Borja,Fuente,marisela33@example.net,+34 946766463,9P3WUEvwK),True,activo,Bicicleta,2024-11-12 19:37:46,2024-12-02 19:37:46
37,Merche,Balaguer,ssaenz@example.com,+34978 68 74 01,p9QXl3Tw$G,True,activo,Moto,2025-04-22 09:44:25,2025-05-03 09:44:25
38,Isaías,Durán,maringalo@example.com,+34 941 234 013,$6IM7P+Hol,True,activo,Moto,2024-07-01 09:28:41,2024-09-05 09:28:41
39,Íngrid,Rozas,barofausto@example.com,+34 924403017,GwH&yDQF#7,True,activo,Auto,2024-10-04 06:26:04,2024-12-07 06:26:04
40,María Ángeles,Amor,caridad24@example.org,+34 828 30 36 08,O3B77+Mxn!,True,activo,Auto,2024-07-23 11:22:41,2024-08-21 11:22:41
41,Chus,Valcárcel,mduran@example.net,+34 800 29 70 12,o*3MVb1Ioy,False,inactivo,Bicicleta,2025-01-12 11:50:03,2025-02-16 11:50:03
42,Alondra,Pagès,yoller@example.com,+34974377326,)oAZmCfnb1,True,activo,Moto,2024-12-22 11:38:27,2025-03-18 11:38:27
43,Inmaculada,Berenguer,francisco-javier32@example.net,+34 901 59 50 82,A7(0Evv(Jl,False,inactivo,Auto,2024-10-27 20:02:20,2024-11-06 20:02:20
44,Ambrosio,Ibarra,cebrianarco@example.net,+34 822 126 410,#7^6MWfp2#,True,activo,Bicicleta,2024-07-19 22:24:47,2024-10-03 22:24:47
45,Moisés,Barceló,guerreronilo@example.net,+34 873734416,9wyZZyCd&j,True,activo,Moto,2024-09-02 02:39:59,2024-11-10 02:39:59
46,Marina,Ortuño,gabriela72@example.com,+34 842 195 014,9e6JeuAd(G,False,inactivo,Auto,2024-09-19 18:13:32,2024-12-03 18:13:32
47,Sigfrido,Tena,teodosioconde@example.net,+34901 183 724,Ql$8Ixpikk,False,inactivo,Moto,2025-03-24 08:23:40,2025-05-04 08:23:40
48,Tania,Luna,maria-dolores54@example.net,+34881 79 97 25,)*8JnY+hHr,True,activo,Auto,2025-02-10 23:42:07,2025-04-23 23:42:07
49,Bienvenida,Falcón,alvarezinmaculada@example.net,+34 807 029 255,A1z^Mtjs$M,True,activo,Auto,2024-06-07 00:29:20,2024-07-01 00:29:20
50,Josep,Prada,manutamayo@example.org,+34807 944 383,l*S6KBkcJ+,True,activo,Bicicleta,2024-07-27 01:23:41,2024-09-08 01:23:41
