id,user,tenant_id,metodoPago,fechaCreacion,fechaEntrega,fechaCancelacion,estado,repartidor,direccion_entrega,lat,lon,total,calificacion,comentario,tiempo_entrega_min
13,284,7,CRIPTO,2024-12-30 11:06:26.000000,2024-12-30 11:38:26,,ENTREGADO,,"Urbanización María José Huguet 33 Puerta 8 , Granada, 08387, Buenos Aires, Argentina",-34.665465,-58.519198,11286.54,3.0,,32.0
14,37,3,PESOS,2025-01-18 03:27:16.000000,2025-01-18 04:25:16,,ENTREGADO,,"Alameda Jordana Llano 451, Jaén, 06831, Buenos Aires, Argentina",-34.665465,-58.519198,4809.36,2.0,Repudiandae necessitatibus saepe id laudantium voluptatem fugit.,58.0
15,119,4,PESOS,2025-01-02 08:15:04.000000,2025-01-02 09:34:04,,ENTREGADO,,"C. Francisco Quintanilla 40 Apt. 45 , Castellón, 40933, Buenos Aires, Argentina",-34.665465,-58.519198,2480.97,2.0,,79.0
16,125,5,CRIPTO,2024-12-30 17:34:14.000000,2024-12-30 18:16:14,,ENTREGADO,,"Avenida de Marisa Puente 5 Apt. 49 , Madrid, 28684, Buenos Aires, Argentina",-34.665465,-58.519198,7241.13,1.0,,42.0
17,297,19,PESOS,2025-01-08 21:27:13.000000,2025-01-08 22:21:13,,ENTREGADO,,"Paseo de Abigaíl Miranda 52 Apt. 80 , Huelva, 01032, Buenos Aires, Argentina",-34.665465,-58.519198,1459.75,1.0,,54.0
18,197,18,CRIPTO,2024-12-30 17:37:24.000000,2024-12-30 18:12:24,,ENTREGADO,,"Cañada Merche Sanabria 84, Málaga, 43255, Buenos Aires, Argentina",-34.665465,-58.519198,4007.55,4.0,,35.0
19,342,18,CRIPTO,2024-12-30 09:56:34.000000,,2024-12-30 10:11:34,CANCELADO,,"Plaza Noemí Arroyo 40 Apt. 22 , Valencia, 24525, Buenos Aires, Argentina",-34.665465,-58.519198,3170.41,,,
20,342,18,PESOS,2025-01-10 15:33:41.000000,2025-01-10 16:10:41,,ENTREGADO,,"Plaza Noemí Arroyo 40 Apt. 22 , Valencia, 24525, Buenos Aires, Argentina",-34.665465,-58.519198,3848.03,5.0,,37.0
21,66,6,PESOS,2024-12-25 05:58:13.000000,2024-12-25 06:44:13,,ENTREGADO,,"Callejón Celia Naranjo 2, Sevilla, 40447, Buenos Aires, Argentina",-34.665465,-58.519198,4326.67,5.0,,46.0
22,106,14,PESOS,2025-01-02 03:45:39.000000,2025-01-02 04:06:39,,ENTREGADO,,"Vial Yésica Montero 75 Piso 6 , Ceuta, 04033, Buenos Aires, Argentina",-34.665465,-58.519198,1232.1,4.0,,21.0
23,410,13,PESOS,2025-01-18 21:19:47.000000,2025-01-18 22:10:47,,ENTREGADO,,"Pasaje Rocío Abad 8 Piso 3 , Castellón, 25212, Buenos Aires, Argentina",-34.665465,-58.519198,962.64,4.0,,51.0
24,483,19,CRIPTO,2025-01-01 09:19:23.000000,,2025-01-01 09:24:23,CANCELADO,,"Via Asunción Durán 86, Baleares, 19234, Buenos Aires, Argentina",-34.665465,-58.519198,8481.95,,,
25,126,9,PESOS,2024-12-25 00:04:32.000000,,2024-12-25 00:14:32,CANCELADO,,"Alameda Socorro Escalona 673, Valladolid, 43141, Buenos Aires, Argentina",-34.665465,-58.519198,7829.07,,,
26,293,7,PESOS,2024-12-28 14:38:25.000000,2024-12-28 15:25:25,,ENTREGADO,,"Ronda Teo Feliu 60, Huesca, 19881, Buenos Aires, Argentina",-34.665465,-58.519198,3979.05,3.0,,47.0
27,225,12,PESOS,2025-01-13 18:19:05.000000,,2025-01-13 18:28:05,CANCELADO,,"Via Pelayo Prat 28, Segovia, 47086, Buenos Aires, Argentina",-34.665465,-58.519198,7070.2,,,
28,301,9,CRIPTO,2025-01-07 10:57:23.000000,,2025-01-07 11:06:23,CANCELADO,,"Pasaje Danilo Robledo 30, Barcelona, 10670, Buenos Aires, Argentina",-34.665465,-58.519198,4609.67,,,
29,154,5,PESOS,2024-12-27 23:27:29.000000,2024-12-28 00:07:29,,ENTREGADO,,"Acceso Octavio Ricart 68, Álava, 10086, Buenos Aires, Argentina",-34.665465,-58.519198,2958.12,1.0,Maxime eius quod earum quisquam.,40.0
30,166,19,CRIPTO,2025-01-16 12:22:33.000000,,2025-01-16 12:31:33,CANCELADO,,"Vial de Amancio Pera 79, Zamora, 03196, Buenos Aires, Argentina",-34.665465,-58.519198,1960.29,,,
31,360,12,PESOS,2025-01-17 03:47:51.000000,,2025-01-17 03:54:51,CANCELADO,,"Cuesta Valentín Lillo 5 Piso 3 , Segovia, 49775, Buenos Aires, Argentina",-34.665465,-58.519198,5733.92,,,
32,196,4,CRIPTO,2025-01-01 07:42:26.000000,,2025-01-01 07:50:26,CANCELADO,,"Vial de Hilda Barbero 74 Piso 1 , Alicante, 46452, Buenos Aires, Argentina",-34.665465,-58.519198,6754.97,,,
33,415,15,CRIPTO,2024-12-24 12:04:38.000000,2024-12-24 12:39:38,,ENTREGADO,,"Rambla de Adelaida Arnau 26, Badajoz, 49505, Buenos Aires, Argentina",-34.665465,-58.519198,13135.92,2.0,,35.0
34,387,18,PESOS,2024-12-24 20:22:25.000000,2024-12-24 20:55:25,,ENTREGADO,,"Avenida Máximo Jaén 84 Apt. 62 , Santa Cruz de Tenerife, 19509, Buenos Aires, Argentina",-34.665465,-58.519198,4556.66,3.0,Cum quos enim libero.,33.0
35,425,9,PESOS,2025-01-05 03:50:02.000000,,2025-01-05 03:58:02,CANCELADO,,"Via de Aarón Pozuelo 35, Ciudad, 24469, Buenos Aires, Argentina",-34.665465,-58.519198,4140.0,,,
36,25,1,CRIPTO,2024-12-21 09:57:11.000000,2024-12-21 11:24:11,,ENTREGADO,,"Paseo Estela Alba 62 Piso 0 , Santa Cruz de Tenerife, 27376, Buenos Aires, Argentina",-34.665465,-58.519198,3698.16,4.0,,87.0
37,412,8,PESOS,2025-01-14 07:55:07.000000,2025-01-14 08:38:07,,ENTREGADO,,"Pasaje de Ulises Rosales 41 Piso 9 , Cuenca, 04608, Buenos Aires, Argentina",-34.665465,-58.519198,6867.89,1.0,,43.0
38,317,17,PESOS,2024-12-23 10:54:39.000000,2024-12-23 11:48:39,,ENTREGADO,,"Via María José Casanovas 69, Guipúzcoa, 34964, Buenos Aires, Argentina",-34.665465,-58.519198,4571.98,1.0,,54.0
39,262,15,PESOS,2024-12-21 04:31:20.000000,2024-12-21 05:30:20,,ENTREGADO,,"C. de Onofre Ribas 190 Apt. 97 , Zaragoza, 43787, Buenos Aires, Argentina",-34.665465,-58.519198,10238.58,4.0,,59.0
40,7,11,PESOS,2025-01-13 06:00:04.000000,,2025-01-13 06:08:04,CANCELADO,,"Rambla Estefanía Lobo 522 Apt. 25 , Granada, 13454, Buenos Aires, Argentina",-34.665465,-58.519198,7145.84,,,
41,240,12,PESOS,2024-12-27 05:58:39.000000,2024-12-27 06:49:39,,ENTREGADO,,"C. de Ascensión Poza 4, Málaga, 39475, Buenos Aires, Argentina",-34.665465,-58.519198,10265.68,4.0,,51.0
42,46,18,PESOS,2025-01-17 12:38:18.000000,,2025-01-17 12:47:18,CANCELADO,,"Plaza de Cirino Cuesta 65 Piso 0 , Melilla, 13849, Buenos Aires, Argentina",-34.665465,-58.519198,4744.49,,,
43,9,14,PESOS,2025-01-10 17:02:26.000000,,2025-01-10 17:16:26,CANCELADO,,"Acceso de Marisa Polo 791, Murcia, 13584, Buenos Aires, Argentina",-34.665465,-58.519198,4840.07,,,
44,344,3,PESOS,2025-01-12 03:33:38.000000,,2025-01-12 03:43:38,CANCELADO,,"Pasadizo Cecilia Boix 21 Apt. 86 , Zaragoza, 44422, Buenos Aires, Argentina",-34.665465,-58.519198,2879.27,,,
45,260,2,PESOS,2024-12-31 01:30:13.000000,2024-12-31 02:09:13,,ENTREGADO,,"C. Ascensión Milla 89 Piso 6 , Lleida, 22287, Buenos Aires, Argentina",-34.665465,-58.519198,6275.16,5.0,,39.0
46,471,3,PESOS,2025-01-11 02:32:52.000000,,2025-01-11 02:42:52,CANCELADO,,"Vial Jacinta Gutiérrez 80 Puerta 7 , Ourense, 34453, Buenos Aires, Argentina",-34.665465,-58.519198,6070.85,,,
47,157,10,PESOS,2025-01-02 09:03:57.000000,2025-01-02 10:04:57,,ENTREGADO,,"Callejón Anna Agustí 7 Apt. 33 , Almería, 39382, Buenos Aires, Argentina",-34.665465,-58.519198,7378.42,1.0,,61.0
48,278,3,PESOS,2025-01-05 11:44:11.000000,2025-01-05 12:46:11,,ENTREGADO,,"Calle de Rafaela Armengol 1 Puerta 4 , Lleida, 48229, Buenos Aires, Argentina",-34.665465,-58.519198,3120.17,4.0,,62.0
49,468,1,PESOS,2025-01-07 10:23:04.000000,2025-01-07 11:37:04,,ENTREGADO,,"Ronda Adán Chaves 66, Palencia, 26532, Buenos Aires, Argentina",-34.665465,-58.519198,5543.91,3.0,A earum similique asperiores alias ducimus maiores.,74.0
50,149,15,CRIPTO,2025-01-19 12:24:19.000000,2025-01-19 13:06:19,,ENTREGADO,,"Glorieta Griselda Peña 61 Puerta 2 , Ceuta, 30713, Buenos Aires, Argentina",-34.665465,-58.519198,5799.93,5.0,,42.0
51,239,13,PESOS,2024-12-22 11:27:17.000000,,2024-12-22 11:36:17,CANCELADO,,"Acceso Dorita Sabater 14 Apt. 02 , Cáceres, 26819, Buenos Aires, Argentina",-34.665465,-58.519198,1288.96,,,
52,287,9,PESOS,2025-01-04 23:43:29.000000,2025-01-05 00:24:29,,ENTREGADO,,"Calle César Noriega 63 Puerta 4 , Barcelona, 37916, Buenos Aires, Argentina",-34.665465,-58.519198,6372.91,2.0,,41.0
53,257,12,PESOS,2024-12-28 03:14:36.000000,,2024-12-28 03:19:36,CANCELADO,,"Rambla de Alex Palmer 63, Huesca, 03341, Buenos Aires, Argentina",-34.665465,-58.519198,3902.84,,,
54,99,16,CRIPTO,2025-01-19 15:33:45.000000,,2025-01-19 15:44:45,CANCELADO,,"Pasadizo de Javiera Bartolomé 79 Apt. 56 , Zaragoza, 11193, Buenos Aires, Argentina",-34.665465,-58.519198,4395.55,,,
55,232,6,PESOS,2024-12-31 06:37:47.000000,2024-12-31 07:26:47,,ENTREGADO,,"Rambla Casemiro Barreda 3, Álava, 43198, Buenos Aires, Argentina",-34.665465,-58.519198,2419.05,1.0,,49.0
56,2,12,PESOS,2025-01-06 04:15:32.000000,,2025-01-06 04:24:32,CANCELADO,,"Vial Cintia Bellido 40 Apt. 02 , Murcia, 05703, Buenos Aires, Argentina",-34.665465,-58.519198,5039.5,,,
57,144,1,CRIPTO,2025-01-11 05:08:25.000000,2025-01-11 06:17:25,,ENTREGADO,,"Alameda Arsenio Amaya 2 Puerta 7 , Murcia, 08319, Buenos Aires, Argentina",-34.665465,-58.519198,2803.33,3.0,,69.0
58,19,13,PESOS,2025-01-13 00:23:46.000000,2025-01-13 00:55:46,,ENTREGADO,,"Urbanización Jacinta Mascaró 45 Piso 5 , Castellón, 47731, Buenos Aires, Argentina",-34.665465,-58.519198,10666.91,2.0,,32.0
59,277,19,PESOS,2025-01-09 02:07:36.000000,2025-01-09 03:01:36,,ENTREGADO,,"C. de Pía Fuente 222, Cantabria, 35450, Buenos Aires, Argentina",-34.665465,-58.519198,7234.8,3.0,,54.0
60,75,15,CRIPTO,2024-12-22 12:03:42.000000,,2024-12-22 12:11:42,CANCELADO,,"Glorieta de Trini Galán 98, Valladolid, 03574, Buenos Aires, Argentina",-34.665465,-58.519198,5799.93,,,
61,198,15,PESOS,2025-01-01 10:38:39.000000,2025-01-01 11:07:39,,ENTREGADO,,"C. María Del Carmen Sacristán 15, Castellón, 04947, Buenos Aires, Argentina",-34.665465,-58.519198,12425.38,1.0,,29.0
62,1,20,CRIPTO,2024-12-22 00:43:20.000000,,2024-12-22 00:50:20,CANCELADO,,"Via de Fanny Pozo 427, Lleida, 05072, Buenos Aires, Argentina",-34.665465,-58.519198,4485.65,,,
63,143,8,PESOS,2025-01-05 17:26:30.000000,,2025-01-05 17:37:30,CANCELADO,,"Ronda Lupe Vargas 69 Piso 7 , La Rioja, 10500, Buenos Aires, Argentina",-34.665465,-58.519198,3018.18,,,
64,32,14,PESOS,2024-12-30 15:40:36.000000,2024-12-30 16:30:36,,ENTREGADO,,"Calle Herberto Sobrino 31 Puerta 6 , Alicante, 03931, Buenos Aires, Argentina",-34.665465,-58.519198,1232.1,3.0,,50.0
65,10,15,PESOS,2025-01-07 04:19:05.000000,,2025-01-07 04:34:05,CANCELADO,,"Ronda de Socorro Solé 15, Ávila, 15218, Buenos Aires, Argentina",-34.665465,-58.519198,3248.33,,,
66,16,13,PESOS,2025-01-08 08:16:20.000000,,2025-01-08 08:29:20,CANCELADO,,"Paseo de Ramón Pozuelo 95, Lleida, 18444, Buenos Aires, Argentina",-34.665465,-58.519198,4964.06,,,
67,56,11,CRIPTO,2024-12-27 08:23:58.000000,2024-12-27 09:09:58,,ENTREGADO,,"Vial Maxi Montesinos 19 Apt. 34 , Cuenca, 45875, Buenos Aires, Argentina",-34.665465,-58.519198,10730.58,2.0,,46.0
68,94,15,CRIPTO,2024-12-21 07:29:00.000000,,2024-12-21 07:40:00,CANCELADO,,"Cuesta Juanita Benavides 90, Tarragona, 25283, Buenos Aires, Argentina",-34.665465,-58.519198,3835.32,,,
69,129,19,PESOS,2025-01-09 21:33:25.000000,2025-01-09 22:30:25,,ENTREGADO,,"Callejón Trinidad Baró 50, Baleares, 46888, Buenos Aires, Argentina",-34.665465,-58.519198,7201.68,4.0,,57.0
70,10,9,PESOS,2024-12-28 20:15:35.000000,,2024-12-28 20:24:35,CANCELADO,,"Ronda de Socorro Solé 15, Ávila, 15218, Buenos Aires, Argentina",-34.665465,-58.519198,2011.01,,,
71,329,1,PESOS,2025-01-17 12:20:09.000000,,2025-01-17 12:31:09,CANCELADO,,"Cañada de Toribio Calzada 6 Apt. 58 , Salamanca, 28271, Buenos Aires, Argentina",-34.665465,-58.519198,4467.35,,,
72,342,1,PESOS,2025-01-17 20:52:32.000000,2025-01-17 21:48:32,,ENTREGADO,,"Plaza Noemí Arroyo 40 Apt. 22 , Valencia, 24525, Buenos Aires, Argentina",-34.665465,-58.519198,11362.29,5.0,Placeat hic quas amet quasi alias.,56.0
73,159,19,PESOS,2024-12-24 06:09:03.000000,,2024-12-24 06:22:03,CANCELADO,,"Calle Jose Angel Guzman 43 Piso 3 , Vizcaya, 30583, Buenos Aires, Argentina",-34.665465,-58.519198,2733.82,,,
74,83,11,CRIPTO,2025-01-15 15:59:10.000000,2025-01-15 16:33:10,,ENTREGADO,,"Avenida de Corona Cortina 6 Puerta 3 , Tarragona, 48648, Buenos Aires, Argentina",-34.665465,-58.519198,4021.08,2.0,,34.0
75,473,12,PESOS,2025-01-15 14:19:24.000000,,2025-01-15 14:33:24,CANCELADO,,"Glorieta Joaquina Larrea 294 Puerta 8 , Toledo, 03431, Buenos Aires, Argentina",-34.665465,-58.519198,10973.04,,,
76,182,13,CRIPTO,2025-01-03 14:51:18.000000,2025-01-03 15:25:18,,ENTREGADO,,"Urbanización de Juan Luis Cerdán 692 Apt. 05 , Málaga, 08420, Buenos Aires, Argentina",-34.665465,-58.519198,7336.77,2.0,,34.0
77,398,15,PESOS,2024-12-31 09:03:30.000000,,2024-12-31 09:11:30,CANCELADO,,"Urbanización de Alejandro Izquierdo 93, Málaga, 45360, Buenos Aires, Argentina",-34.665465,-58.519198,7794.19,,,
78,261,14,CRIPTO,2025-01-15 20:34:51.000000,2025-01-15 21:15:51,,ENTREGADO,,"Alameda Rocío Laguna 7, Toledo, 15607, Buenos Aires, Argentina",-34.665465,-58.519198,10067.82,5.0,Expedita minima quam minima.,41.0
79,281,8,CRIPTO,2025-01-13 06:23:45.000000,,2025-01-13 06:32:45,CANCELADO,,"Ronda de Marcio Abella 82, Soria, 40197, Buenos Aires, Argentina",-34.665465,-58.519198,2540.63,,,
80,229,17,PESOS,2024-12-24 14:01:01.000000,2024-12-24 15:12:01,,ENTREGADO,,"Cuesta Martirio Arco 4 Apt. 76 , Álava, 14907, Buenos Aires, Argentina",-34.665465,-58.519198,6373.85,1.0,,71.0
81,283,14,PESOS,2025-01-10 17:43:33.000000,,2025-01-10 17:57:33,CANCELADO,,"Avenida de Adelardo Canales 21 Apt. 11 , Ciudad, 10023, Buenos Aires, Argentina",-34.665465,-58.519198,5852.76,,,
82,439,8,CRIPTO,2024-12-30 18:32:13.000000,2024-12-30 19:43:13,,ENTREGADO,,"Via Gisela Arenas 26, Ciudad, 21957, Buenos Aires, Argentina",-34.665465,-58.519198,9905.52,2.0,Architecto molestiae molestiae tempore voluptatem doloremque.,71.0
83,32,20,PESOS,2025-01-10 08:13:53.000000,,2025-01-10 08:26:53,CANCELADO,,"Calle Herberto Sobrino 31 Puerta 6 , Alicante, 03931, Buenos Aires, Argentina",-34.665465,-58.519198,4485.65,,,
84,176,17,CRIPTO,2024-12-21 05:41:28.000000,,2024-12-21 05:56:28,CANCELADO,,"Cuesta Lino Ballester 83, Barcelona, 38406, Buenos Aires, Argentina",-34.665465,-58.519198,7572.74,,,
85,186,5,CRIPTO,2024-12-25 11:20:59.000000,2024-12-25 12:06:59,,ENTREGADO,,"Cuesta de Teófilo Donaire 25 Puerta 2 , Toledo, 38262, Buenos Aires, Argentina",-34.665465,-58.519198,10597.28,1.0,,46.0
86,76,4,PESOS,2024-12-25 21:29:51.000000,,2024-12-25 21:40:51,CANCELADO,,"Pasaje de Jacobo Guardiola 34 Piso 1 , Navarra, 20304, Buenos Aires, Argentina",-34.665465,-58.519198,1430.34,,,
87,203,14,PESOS,2025-01-14 16:27:50.000000,2025-01-14 16:56:50,,ENTREGADO,,"Alameda Pía Vázquez 92, Lleida, 50093, Buenos Aires, Argentina",-34.665465,-58.519198,4216.62,5.0,,29.0
88,75,9,PESOS,2024-12-23 14:45:24.000000,2024-12-23 15:57:24,,ENTREGADO,,"Glorieta de Trini Galán 98, Valladolid, 03574, Buenos Aires, Argentina",-34.665465,-58.519198,1364.03,2.0,,72.0
89,164,10,PESOS,2024-12-30 09:39:50.000000,,2024-12-30 09:48:50,CANCELADO,,"Plaza de Plinio Ocaña 57 Piso 1 , Ciudad, 14848, Buenos Aires, Argentina",-34.665465,-58.519198,6787.85,,,
90,221,2,CRIPTO,2025-01-17 01:54:31.000000,,2025-01-17 02:06:31,CANCELADO,,"Pasaje Manuela Sobrino 84 Puerta 9 , Lugo, 04808, Buenos Aires, Argentina",-34.665465,-58.519198,4394.81,,,
91,328,12,CRIPTO,2025-01-17 15:49:47.000000,,2025-01-17 15:54:47,CANCELADO,,"Vial Julie Salinas 58 Puerta 7 , Soria, 30388, Buenos Aires, Argentina",-34.665465,-58.519198,8080.68,,,
92,87,3,CRIPTO,2024-12-27 11:02:00.000000,2024-12-27 11:42:00,,ENTREGADO,,"Vial de Sebastian Cabello 28 Piso 1 , Málaga, 34961, Buenos Aires, Argentina",-34.665465,-58.519198,6973.61,2.0,,40.0
93,385,6,PESOS,2025-01-12 09:56:53.000000,,2025-01-12 10:08:53,CANCELADO,,"Glorieta Olalla Rueda 259, Valladolid, 12299, Buenos Aires, Argentina",-34.665465,-58.519198,7037.96,,,
94,243,20,PESOS,2025-01-06 09:11:59.000000,2025-01-06 10:21:59,,ENTREGADO,,"Callejón de Erasmo Hierro 12, Soria, 29611, Buenos Aires, Argentina",-34.665465,-58.519198,7789.41,4.0,Soluta vitae est animi ullam dignissimos repellendus nulla.,70.0
95,230,9,PESOS,2025-01-03 11:54:04.000000,2025-01-03 13:06:04,,ENTREGADO,,"Acceso Tania Zamorano 36 Apt. 23 , Jaén, 13421, Buenos Aires, Argentina",-34.665465,-58.519198,1234.63,5.0,,72.0
96,422,3,PESOS,2024-12-21 00:39:39.000000,,2024-12-21 00:47:39,CANCELADO,,"Calle de Jose Manuel Franco 33, Burgos, 08791, Buenos Aires, Argentina",-34.665465,-58.519198,4809.36,,,
97,490,8,CRIPTO,2025-01-08 21:03:37.000000,,2025-01-08 21:13:37,CANCELADO,,"Acceso Conrado Solé 71, Toledo, 31829, Buenos Aires, Argentina",-34.665465,-58.519198,1695.63,,,
98,7,7,PESOS,2025-01-17 10:15:42.000000,2025-01-17 11:07:42,,ENTREGADO,,"Rambla Estefanía Lobo 522 Apt. 25 , Granada, 13454, Buenos Aires, Argentina",-34.665465,-58.519198,4391.65,5.0,Assumenda nihil inventore deleniti ipsam.,52.0
99,452,4,PESOS,2024-12-31 02:05:14.000000,,2024-12-31 02:14:14,CANCELADO,,"Plaza de Carmina Merino 386 Apt. 43 , Zamora, 10397, Buenos Aires, Argentina",-34.665465,-58.519198,8525.03,,,
100,64,7,PESOS,2024-12-31 06:13:21.000000,2024-12-31 07:01:21,,ENTREGADO,,"Pasaje de Apolinar Mate 34, Málaga, 25645, Buenos Aires, Argentina",-34.665465,-58.519198,1070.28,2.0,,48.0
101,434,18,PESOS,2025-01-05 17:15:12.000000,,2025-01-05 17:28:12,CANCELADO,,"Avenida de Segismundo Alfaro 51 Apt. 20 , Alicante, 20667, Buenos Aires, Argentina",-34.665465,-58.519198,4007.55,,,
102,81,16,PESOS,2024-12-30 12:30:45.000000,2024-12-30 13:46:45,,ENTREGADO,,"Alameda Mohamed Grande 477, Barcelona, 13839, Buenos Aires, Argentina",-34.665465,-58.519198,7971.59,5.0,,76.0
103,481,7,PESOS,2024-12-26 02:53:12.000000,2024-12-26 03:43:12,,ENTREGADO,,"Alameda Inocencio Huertas 40 Piso 9 , Badajoz, 26839, Buenos Aires, Argentina",-34.665465,-58.519198,7093.34,4.0,,50.0
104,177,12,PESOS,2025-01-11 23:31:18.000000,,2025-01-11 23:36:18,CANCELADO,,"Vial de Nazaret Hidalgo 74, Murcia, 50550, Buenos Aires, Argentina",-34.665465,-58.519198,8185.55,,,
105,60,9,PESOS,2024-12-29 14:01:52.000000,,2024-12-29 14:16:52,CANCELADO,,"Paseo Mar Muñoz 83, Murcia, 39051, Buenos Aires, Argentina",-34.665465,-58.519198,7274.53,,,
106,441,10,PESOS,2024-12-31 11:10:07.000000,2024-12-31 12:11:07,,ENTREGADO,,"Glorieta de Carlota Ariño 201 Piso 0 , Álava, 47610, Buenos Aires, Argentina",-34.665465,-58.519198,3228.1,5.0,Atque minima ad consequatur placeat ipsam.,61.0
107,110,3,CRIPTO,2025-01-04 08:54:21.000000,2025-01-04 09:57:21,,ENTREGADO,,"Vial de Lidia Herrera 97 Puerta 2 , Granada, 50620, Buenos Aires, Argentina",-34.665465,-58.519198,5416.32,2.0,,63.0
108,480,9,PESOS,2024-12-25 12:23:17.000000,,2024-12-25 12:31:17,CANCELADO,,"Pasadizo Herberto Hervás 991, Salamanca, 23186, Buenos Aires, Argentina",-34.665465,-58.519198,2011.01,,,
109,420,18,PESOS,2025-01-18 10:17:21.000000,2025-01-18 11:07:21,,ENTREGADO,,"Pasaje de David Ibañez 588, Guipúzcoa, 20380, Buenos Aires, Argentina",-34.665465,-58.519198,4007.55,5.0,Aliquid itaque laudantium officia deleniti voluptate beatae.,50.0
110,112,9,PESOS,2025-01-12 12:28:27.000000,,2025-01-12 12:43:27,CANCELADO,,"Pasaje de Seve Perelló 84, Tarragona, 25162, Buenos Aires, Argentina",-34.665465,-58.519198,1234.63,,,
111,55,6,PESOS,2025-01-01 05:46:29.000000,,2025-01-01 05:54:29,CANCELADO,,"Plaza Emilio Riquelme 87, Ourense, 11078, Buenos Aires, Argentina",-34.665465,-58.519198,2246.95,,,
112,300,19,PESOS,2024-12-24 07:59:38.000000,2024-12-24 08:51:38,,ENTREGADO,,"Calle Sosimo Nicolau 76, Teruel, 45059, Buenos Aires, Argentina",-34.665465,-58.519198,9365.2,5.0,Soluta eveniet blanditiis suscipit laudantium molestias nobis autem.,52.0
113,132,20,PESOS,2025-01-05 10:31:30.000000,,2025-01-05 10:36:30,CANCELADO,,"Urbanización Leire Ugarte 6, Burgos, 44901, Buenos Aires, Argentina",-34.665465,-58.519198,6546.96,,,
114,440,9,PESOS,2025-01-09 14:23:12.000000,2025-01-09 15:12:12,,ENTREGADO,,"Cañada Carla Garrido 60 Apt. 29 , Palencia, 10620, Buenos Aires, Argentina",-34.665465,-58.519198,3087.96,2.0,Molestiae dignissimos id accusamus magnam ab.,49.0
115,128,15,PESOS,2025-01-13 05:53:07.000000,,2025-01-13 05:58:07,CANCELADO,,"Acceso Jose Manuel Camino 615 Puerta 9 , Ávila, 30765, Buenos Aires, Argentina",-34.665465,-58.519198,8381.18,,,
116,477,20,PESOS,2025-01-07 06:38:02.000000,,2025-01-07 06:52:02,CANCELADO,,"Glorieta de Rosalina Goñi 6 Piso 2 , Guipúzcoa, 27467, Buenos Aires, Argentina",-34.665465,-58.519198,8249.8,,,
